범죄분류,초범,즉결심판,기소유예,선도유예,수배중,보호처분,선고유예,집행유예중,보석_형집행정지중,가석방,형(재산형포함)집행종료,감호소출소,기타,미상
절도,10443,11,2199,436,20,3975,12,28,5,2,748,4,1592,533
장물,235,0,45,15,0,81,0,2,0,0,16,0,31,18
사기,2043,4,636,134,8,1578,5,19,2,1,341,2,464,988
횡령,838,1,170,31,0,171,0,1,0,0,51,0,78,83
손괴,424,0,117,21,0,181,1,2,2,0,51,0,50,106
살인,12,0,2,0,0,1,1,0,0,0,0,0,0,2
강도,76,0,35,2,2,70,0,0,0,0,25,0,22,12
방화,79,0,8,5,0,15,0,0,0,0,4,0,4,3
성폭력,2109,0,214,31,1,274,1,6,0,1,44,1,95,306
폭행,4761,2,1075,180,7,1485,6,18,3,0,341,1,486,3152
상해,3512,1,795,136,2,1132,3,13,2,0,262,0,384,277
협박,261,0,56,10,0,84,0,1,0,0,19,0,18,177
공갈,636,0,185,38,2,436,2,5,0,0,61,0,115,117
도로교통법,3052,0,839,148,1,930,4,7,0,0,405,0,395,338
