범죄분류,동종재범_1개월 이내,동종재범_3개월 이내,동종재범_6개월 이내,동종재범_1년 이내,동종재범_2년 이내,동종재범_3년 이내,동종재범_3년 초과,이종재범_1개월 이내,이종재범_3개월 이내,이종재범_6개월 이내,이종재범_1년 이내,이종재범_2년 이내,이종재범_3년 이내,이종재범_3년 초과
절도,1064,1001,713,1381,403,206,50,724,892,718,1180,421,180,94
장물,11,16,12,19,9,5,1,17,17,21,38,13,9,2
사기,391,382,232,457,99,57,13,253,334,220,459,148,110,38
횡령,18,30,35,55,15,16,1,43,49,30,112,55,23,21
손괴,19,20,19,30,13,13,3,18,46,45,95,61,33,10
살인,0,0,1,0,0,1,0,0,0,1,1,0,0,0
강도,8,15,9,12,7,2,0,14,16,18,29,10,9,7
방화,1,2,2,3,3,0,1,7,3,2,11,1,0,0
성폭력,12,17,27,51,15,9,9,43,67,68,193,74,44,39
폭행,108,223,217,458,197,121,43,180,325,326,719,373,221,90
상해,104,184,185,327,160,88,27,131,240,231,560,271,165,56
협박,8,9,10,21,7,5,2,12,23,10,44,24,9,4
공갈,61,54,48,105,27,13,1,72,105,97,180,56,16,9
도로교통법,122,176,176,324,123,65,22,153,238,211,595,274,168,81
