범죄분류,전과없음,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,미상
절도,11650,2419,1245,899,581,508,416,297,228,1237,528
장물,261,53,31,16,12,7,14,2,1,28,18
사기,2854,513,334,263,191,169,121,93,103,606,978
횡령,943,182,66,44,29,18,8,10,12,32,80
성폭력,2212,268,104,40,34,34,19,17,7,54,294
강도,100,37,15,13,12,9,4,8,4,30,12
폭행,5503,1120,555,333,216,150,125,78,66,267,3104
상해,3888,824,463,311,173,130,100,89,44,228,269
도로교통법,3331,869,488,326,174,131,100,65,52,249,334
협박,296,60,26,15,19,8,6,0,5,17,174
공갈,756,211,122,68,60,58,37,27,19,122,117
방화,87,16,2,1,3,1,1,0,2,3,2
손괴,507,113,56,46,30,21,18,7,14,43,100
살인,12,2,1,1,0,0,0,0,0,0,2
