범죄분류,초범,즉결심판,기소유예,선도유예,수배중,보호처분,선고유예,집행유예중,보석_형집행정지중,가석방,형(재산형포함)집행종료,감호소출소,기타,미상
절도,4122,2,739,1,13,11,26,72,4,1,4833,1,500,1162
장물,29,0,9,0,0,0,0,1,0,0,54,0,7,13
사기,639,0,53,0,12,1,5,69,8,0,2252,1,373,6656
횡령,780,0,61,0,1,3,10,10,1,0,968,0,119,1641
배임,79,0,3,0,0,0,4,2,0,0,153,0,20,894
손괴,596,0,64,0,2,7,14,31,1,0,1164,0,132,657
살인,17,0,6,0,0,0,0,2,0,0,31,0,2,30
강도,1,0,1,0,0,0,0,0,0,0,15,0,0,9
방화,17,0,8,0,0,0,2,2,0,0,37,0,2,15
성폭력,395,0,52,0,2,7,4,15,5,0,833,0,81,392
폭행,1743,2,211,0,7,38,19,65,13,0,4362,1,440,5276
상해,996,2,124,0,1,16,18,34,3,0,2270,0,232,504
협박,165,0,25,0,0,9,0,6,1,0,422,0,69,259
공갈,12,0,1,0,0,1,1,0,0,0,77,0,8,74
약취와 유인,5,0,1,0,0,0,1,0,0,0,5,0,1,13
체포와 감금,16,0,1,0,0,0,0,0,0,0,32,0,1,49
"폭력행위등(손괴,강요,주거침입등)",46,0,0,0,0,0,1,0,0,0,58,0,6,44
통화,2,0,0,0,0,0,0,0,0,0,4,0,3,3
유가증권·인지·우표,3,0,1,0,0,0,0,1,0,0,7,0,0,22
문서,146,0,2,0,0,1,1,6,0,0,305,0,38,1028
인장,6,0,2,0,0,0,0,1,0,0,21,0,2,23
직무유기,0,0,0,0,0,0,0,0,0,0,1,0,0,11
직권남용,2,0,0,0,0,0,0,0,0,0,5,0,0,15
수뢰,13,0,0,0,0,0,0,0,0,0,18,0,2,34
증뢰,7,0,0,0,0,0,0,0,0,0,22,0,2,31
도박과 복표,302,0,107,0,0,3,1,7,0,0,1170,0,94,161
신앙,17,0,2,0,0,0,1,1,0,0,25,0,7,75
기타음란행위,43,0,5,0,0,1,0,3,0,0,76,0,7,19
과실치사상,95,0,7,0,1,0,0,0,0,0,94,0,12,146
업무상과실치사상,55,0,4,0,0,0,2,3,0,0,161,0,13,79
실화,168,0,8,0,0,0,0,1,0,0,148,0,12,14
명예,375,0,26,0,0,1,9,13,1,2,786,0,99,1528
권리행사방해,45,0,4,0,0,0,2,2,0,0,149,0,17,513
신용업무경매,339,1,43,0,0,2,3,22,4,0,900,0,138,802
주거침입,184,0,22,0,1,1,2,5,0,0,355,0,48,243
비밀침해,2,0,0,0,0,0,0,0,0,0,1,0,0,5
유기,3,0,0,0,0,0,0,0,0,0,1,0,0,7
교통방해,57,0,3,0,0,0,1,1,0,0,98,0,7,130
공무방해,87,0,17,0,0,1,2,9,1,0,362,0,34,92
도주와범인은닉,4,0,1,0,0,0,0,0,0,0,6,0,1,7
위증과증거인멸,26,0,0,0,0,0,1,0,0,0,59,0,7,397
무고,40,0,4,0,0,0,0,1,0,0,85,0,21,709
공안을해하는죄,1,0,0,0,0,0,0,0,0,0,4,0,0,2
음용수에관한죄,0,0,0,0,0,0,0,1,0,0,1,0,0,6
일수와수리에관한죄,1,0,0,0,0,0,0,0,0,0,0,0,0,1
기타,2,0,0,0,0,0,0,0,0,0,0,0,0,2
개발제한구역의 지정 및 관리에 관한 특별조치법,58,0,2,0,0,0,0,1,6,0,154,0,14,113
개인정보보호법,16,0,1,0,0,0,1,0,0,0,20,0,0,56
건축법,253,0,6,0,0,0,3,0,0,0,348,0,44,189
게임산업진흥에 관한법률,44,0,15,0,0,0,2,1,0,0,100,0,12,22
경범죄처벌법,33,0,5,0,0,0,0,8,1,0,177,0,23,30
공유재산 및 물품관리법,3,0,0,0,0,0,0,1,0,0,15,0,1,6
공인중개사법,27,0,2,0,0,0,1,0,1,0,70,0,8,70
공중위생관리법,15,0,0,0,0,0,0,1,0,0,35,0,2,36
공직선거법,32,0,2,0,0,0,1,0,0,0,48,0,4,43
교통사고처리특례법,2647,0,123,0,1,6,12,25,8,0,5634,0,632,13232
국토의계획 및 이용에 관한법률,68,0,6,0,0,0,0,2,0,0,175,0,19,105
근로기준법,80,13,11,0,1,0,0,3,0,0,199,0,23,1679
근로자퇴직급여보장법,24,6,1,0,1,0,1,1,0,0,59,0,10,561
농수산물의 원산지 표시에 관한법률,28,3,0,0,0,0,1,0,0,0,32,0,0,124
농지법,42,0,5,0,0,0,0,1,0,0,88,0,10,130
대기환경보전법,18,0,1,0,0,0,0,3,0,0,70,0,9,97
대부업등의 등록 및 금융이용자 보호에 관한법률,8,0,0,0,0,0,0,1,0,0,31,0,4,28
도로교통법,1786,0,144,1,5,6,14,105,14,0,5871,0,543,3246
도로법,21,0,5,0,0,0,0,0,0,0,83,0,10,31
마약류관리에 관한법률,630,0,16,0,0,0,1,1,0,0,238,0,26,33
물환경보전법,13,0,0,0,0,0,0,1,0,0,36,0,3,37
병역법,2,0,0,0,0,0,0,0,0,0,0,0,0,0
부정경쟁방지 및 영업비밀 보호에 관한법률,5,0,0,0,0,0,0,0,0,0,6,0,0,5
부정수표단속법,20,0,0,0,0,0,2,1,0,0,43,0,7,79
사행행위등 규제 및 처벌특례법,1,0,0,0,0,0,0,0,0,0,8,0,2,1
산림자원의 조성 및 관리에 관한법률,27,0,0,0,0,0,0,0,0,0,33,0,5,131
산업안전보건법,11,5,2,0,0,0,0,0,0,0,32,0,2,244
산지관리법,142,2,6,0,0,0,0,1,0,0,113,0,26,425
상표법,45,0,2,0,0,0,0,0,0,0,75,0,9,51
선박안전법,4,0,2,0,0,0,0,0,0,0,42,0,7,8
선박직원법,6,0,1,0,0,0,0,0,0,0,18,0,3,1
성매매 알선등 행위의 처벌에 관한법률,106,0,15,0,0,2,2,8,1,0,260,0,37,80
수산업법,8,0,4,0,0,0,0,1,0,0,92,0,19,89
수산자원관리법,11,3,4,0,0,0,2,0,0,0,89,0,13,149
식품위생법,164,5,25,0,0,0,0,3,2,0,381,0,39,310
아동·청소년의 성보호에 관한법률(성매수등),1,0,0,0,0,0,0,0,0,0,2,0,0,0
아동·청소년의 성보호에 관한법률(음란물등),0,0,0,0,0,0,0,0,0,0,3,0,0,0
아동복지법,23,0,0,0,0,0,0,0,0,0,20,0,1,9
여객자동차운수사업법,14,0,4,0,0,0,0,1,0,0,106,0,12,35
여신전문금융업법,30,0,3,0,0,0,0,2,0,0,73,0,4,27
외국환거래법,3,1,0,0,0,0,0,0,0,0,8,0,0,33
의료법,69,0,5,0,0,0,2,3,0,0,125,0,18,86
자동차관리법,127,0,9,0,0,1,1,6,0,0,492,0,49,557
자동차손해배상보장법,184,2,16,1,2,1,0,2,0,0,481,0,58,1299
저작권법,28,0,2,0,0,0,0,0,0,0,40,0,6,206
전자금융거래법,54,0,10,0,0,0,1,1,0,0,142,0,11,50
정보통신망이용촉진 및 정보보호 등에 관한법률,21,0,1,0,0,0,5,1,0,0,90,0,9,165
조세범처벌법,17,0,2,0,0,0,0,1,1,0,70,0,10,181
주민등록법,16,0,0,0,1,0,0,0,0,0,16,0,4,29
청소년보호법,216,0,18,0,0,0,1,0,0,0,321,0,42,118
축산물위생관리법,15,0,0,0,0,0,0,0,0,0,42,0,6,27
출입국관리법,20,0,3,0,0,1,0,0,2,0,56,0,2,29
통신비밀보호법,2,0,0,0,0,0,0,0,0,0,0,0,0,5
특가법(도주차량),93,0,5,0,0,0,1,2,0,0,191,0,23,193
폐기물관리법,20,0,3,0,0,0,1,0,0,0,69,0,4,92
풍속영업의 규제에 관한법률,2,0,0,0,0,0,0,0,0,0,11,0,1,2
학원의설립운영 및 과외교습에 관한법률,3,0,0,0,0,0,0,0,0,0,2,0,0,0
화물자동차 운수사업법,31,0,2,0,0,0,0,0,0,0,97,0,14,25
기타특별법,1384,4,98,0,4,4,12,48,14,0,2965,0,302,2250
