범죄분류,전과없음,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,미상
절도,38474,12917,8164,5861,4514,3768,2937,2341,1946,15275,10459
장물,1066,411,304,217,168,105,96,48,43,300,373
사기,26989,12988,9730,8073,6510,5405,4622,3666,3071,28665,113403
횡령,7906,3044,2013,1446,1051,816,669,488,383,2618,15881
배임,1141,550,380,254,177,131,74,87,64,335,6876
손괴,7735,4117,3081,2333,1867,1554,1228,979,803,5724,6064
살인,263,99,71,44,41,38,31,22,13,152,212
강도,321,162,127,87,79,70,57,42,42,337,173
방화,294,149,106,80,61,67,42,48,36,235,145
성폭력,12214,4029,2472,1571,1181,974,740,503,439,2708,6006
폭행,37156,16803,12573,9479,7368,5975,4734,3692,3232,21368,106619
상해,20193,9155,6717,5218,3865,3271,2626,2077,1764,11885,7344
협박,3178,1662,1311,1025,817,647,499,433,343,2465,5083
공갈,1280,498,344,236,210,201,151,117,85,915,1490
약취와유인,78,26,25,9,8,12,4,3,3,30,101
체포와감금,530,222,150,145,96,78,60,47,53,279,1111
"폭력행위등(손괴,강요,주거침입등)",928,304,186,139,123,77,69,62,40,232,827
"폭력행위등(단체등의구성,활동)",43,42,30,42,26,34,33,21,22,239,86
통화,27,6,10,6,2,16,19,3,2,51,421
유가증권·인지·우표,22,13,9,10,12,10,5,10,5,71,239
문서,3222,1018,702,510,390,307,242,188,169,1126,10095
인장,103,52,34,29,25,35,18,17,9,66,213
직무유기,130,12,13,5,1,0,1,0,0,0,1901
직권남용,118,26,15,7,3,3,1,2,0,1,1999
수뢰,313,121,63,44,26,14,16,5,10,31,614
증뢰,93,52,33,39,20,17,14,10,9,34,345
도박과복표,5255,3221,2741,2142,1688,1249,978,756,624,3159,2105
신앙,57,28,21,15,6,5,13,5,3,24,349
기타음란행위,733,343,234,164,117,107,75,75,48,372,229
과실치사상,660,231,151,102,84,48,44,36,35,158,1117
업무상과실치사상,1378,684,500,325,233,160,120,84,77,296,1584
실화,820,331,175,167,84,75,55,36,25,186,123
명예,6044,2093,1371,1083,841,590,538,391,303,2180,17077
권리행사방해,1067,654,555,466,386,332,260,209,161,1002,8164
신용업무경매,4004,2253,1914,1651,1296,1162,985,744,681,6520,8099
주거침입,2626,1113,830,588,437,387,295,260,188,1525,2796
비밀침해,18,3,3,0,2,1,0,2,0,1,87
유기,107,22,8,8,4,1,2,1,0,6,88
교통방해,246,158,135,95,72,59,48,36,34,199,653
공무방해,2989,1584,1285,1111,959,722,666,475,446,3321,1248
도주와범인은닉,233,95,61,46,24,25,19,15,12,60,390
위증과증거인멸,257,101,78,54,51,38,17,22,16,120,3669
무고,414,195,112,76,54,45,38,28,25,186,5802
공안을해하는죄,30,30,28,10,13,13,4,3,2,22,104
내란의죄,0,0,0,0,0,0,0,0,0,0,42
음용수에관한죄,0,2,0,0,1,0,1,0,0,2,18
일수와수리에관한죄,1,2,1,0,0,1,0,0,0,0,2
기타,23,10,1,2,1,2,0,0,0,2,33
가정폭력범죄의처벌등에관한특례법,13,19,29,10,7,8,9,16,7,45,29
가축분뇨의관리및이용에관한법률,106,123,88,71,61,47,27,32,16,84,246
감염병의예방및관리에관한법률,92,26,29,14,4,6,2,3,7,16,20
개발제한구역의지정및관리에관한특별조치법,335,180,135,102,68,65,30,32,25,140,479
개인정보보호법,375,141,69,45,39,21,15,13,13,54,1080
건강기능식품에관한법률,327,117,70,39,28,15,15,7,7,17,246
건설기계관리법,151,94,82,62,57,46,27,16,21,86,128
건설산업기본법,1551,788,662,469,307,225,177,159,73,412,671
건축법,1801,888,545,315,233,151,143,89,86,335,1172
게임산업진흥에관한법률,2774,1309,962,706,550,391,311,232,150,878,1615
결혼중개업의관리에관한법률,25,14,11,4,3,3,2,5,2,8,46
경범죄처벌법,787,541,480,431,359,347,290,243,203,2110,808
고용보험법,2316,525,251,185,134,87,47,37,27,89,383
공유수면관리및매립에관한법률,38,30,25,20,24,19,16,11,15,60,49
공유재산및물품관리법,23,14,6,11,7,9,10,6,2,35,73
공인중개사법,343,138,93,83,49,45,32,19,22,88,674
공중위생관리법,637,283,143,73,30,21,11,8,7,24,487
공직선거법,273,87,76,44,35,29,11,11,8,57,461
관세법,138,29,23,14,13,11,5,2,4,24,1068
교통사고처리특례법,33553,13276,8313,5529,3916,2862,2236,1614,1237,5526,110922
국가기술자격법,151,42,22,18,14,12,17,4,3,19,100
국가보안법,16,13,5,4,3,4,2,1,0,4,10
국민체육진흥법,264,106,85,66,43,27,21,16,10,66,94
국토의계획및이용에관한법률,407,249,189,121,123,76,73,60,43,251,576
근로기준법,1481,1265,1024,950,848,658,567,452,335,2490,29615
근로자퇴직급여보장법,506,385,371,282,238,150,108,83,57,321,7064
낚시관리및육성법,28,22,19,14,16,11,7,14,6,51,15
노동조합및노동관계조정법,61,44,26,26,20,11,2,3,4,17,695
농수산물유통및가격안정에관한법률,8,4,6,8,4,2,2,0,0,5,10
농수산물의원산지표시에관한법률,592,290,159,105,68,45,35,20,8,53,2174
농지법,232,119,78,63,65,31,25,26,11,93,511
대기환경보전법,334,275,216,175,126,99,59,55,30,192,1329
