범죄분류,초범,즉결심판,기소유예,선도유예,수배중,보호처분,선고유예,집행유예중,보석_형집행정지중,가석방,형(재산형포함)집행종료,감호소출소,기타,미상
절도,36487,19,6880,461,413,4689,111,1546,79,41,38507,29,6765,10629
장물,1024,0,185,17,5,111,4,43,3,1,1198,0,169,371
사기,24829,14,4358,172,566,2483,111,2786,203,78,61823,38,11462,114199
횡령,7570,1,846,35,49,260,43,252,23,2,9742,1,1446,16045
배임,1074,0,51,1,1,1,10,40,3,0,1722,0,218,6948
손괴,7482,3,1390,30,31,425,41,546,35,4,17299,3,2073,6123
살인,255,0,35,0,3,8,1,24,0,0,404,0,42,214
강도,291,0,82,2,14,89,2,54,2,2,665,1,117,176
방화,279,0,68,5,5,22,3,31,1,0,600,1,100,148
성폭력,11789,0,1465,40,44,508,47,519,24,7,10730,6,1481,6177
폭행,35133,14,5954,219,133,3041,163,1677,155,9,65872,9,9200,107420
상해,19418,8,3617,160,72,1830,90,1122,95,9,35272,7,4970,7445
협박,3051,0,519,11,17,226,13,234,13,2,7229,2,1018,5128
공갈,1141,0,285,39,13,479,9,110,2,0,1570,0,373,1506
약취와유인,70,0,14,0,2,13,1,5,0,0,79,0,12,103
체포와감금,506,0,71,2,3,74,1,43,3,0,822,0,127,1119
"폭력행위등(손괴,강요,주거침입등)",879,0,148,9,1,69,4,21,0,0,850,0,168,838
"폭력행위등(단체등의구성,활동)",36,0,15,0,10,32,0,35,0,0,351,0,53,86
통화,24,0,6,0,0,9,0,0,0,0,73,0,30,421
유가증권·인지·우표,18,0,2,0,0,1,1,4,5,0,109,0,24,242
문서,3022,0,307,30,26,266,15,110,7,2,3292,0,715,10177
인장,96,0,14,0,4,2,0,3,2,0,241,0,22,217
직무유기,107,0,1,0,0,0,0,0,0,0,26,0,19,1910
직권남용,87,0,1,0,0,0,0,0,0,0,40,0,25,2022
수뢰,276,0,8,0,0,0,2,3,0,0,286,0,54,628
증뢰,69,0,2,0,0,0,0,10,0,0,192,0,32,361
도박과복표,5109,4,1163,1,11,121,16,229,37,1,13670,1,1428,2127
신앙,56,0,8,0,1,0,1,1,1,0,91,0,17,350
기타음란행위,710,0,169,0,9,23,4,59,4,1,1132,2,153,231
과실치사상,643,0,51,0,1,10,3,6,1,0,743,1,76,1131
업무상과실치사상,1353,0,102,0,1,3,6,23,2,0,2130,0,214,1607
실화,815,0,58,1,0,4,0,11,2,0,939,0,122,125
명예,5763,0,519,18,8,168,51,157,23,2,7547,3,1053,17199
권리행사방해,995,0,142,2,9,44,4,88,8,8,3261,0,486,8209
신용업무경매,3863,6,796,3,30,101,25,548,44,3,13968,4,1768,8150
주거침입,2548,1,386,9,12,105,11,159,19,1,4385,1,583,2825
비밀침해,19,0,0,0,0,0,0,0,0,0,9,0,2,87
유기,107,0,7,0,0,3,0,0,0,0,32,0,8,90
교통방해,244,0,36,0,0,5,2,12,1,0,701,0,76,658
공무방해,2907,2,496,11,16,132,19,364,44,2,8632,2,907,1272
도주와범인은닉,223,0,29,3,0,10,0,11,0,0,253,0,47,404
위증과증거인멸,205,0,13,0,1,1,3,18,0,0,340,0,98,3744
무고,325,0,25,0,0,13,10,15,1,0,542,0,139,5905
공안을해하는죄,28,0,3,0,1,4,0,12,0,0,64,0,44,103
내란의죄,0,0,0,0,0,0,0,0,0,0,0,0,0,42
음용수에관한죄,0,0,0,0,0,0,0,1,0,0,5,0,0,18
일수와수리에관한죄,1,0,0,0,0,0,0,0,0,0,3,0,1,2
기타,23,0,3,0,0,0,0,0,0,0,13,0,2,33
가정폭력범죄의처벌등에관한특례법,13,0,7,0,1,13,1,5,1,0,91,0,30,30
가축분뇨의관리및이용에관한법률,125,1,17,0,0,0,0,7,1,0,422,0,41,287
감염병의예방및관리에관한법률,91,0,4,0,0,1,0,0,0,0,99,0,4,20
개발제한구역의지정및관리에관한특별조치법,315,0,19,0,0,0,1,8,14,0,648,0,75,511
개인정보보호법,368,0,19,1,0,3,4,4,0,0,349,0,31,1086
건강기능식품에관한법률,318,0,20,0,0,0,0,5,1,0,238,0,40,266
건설기계관리법,147,0,8,0,0,0,0,7,4,0,447,0,27,130
건설산업기본법,1538,0,49,0,0,3,2,21,8,0,2712,0,484,677
건축법,1751,0,67,0,0,3,12,11,3,0,2463,0,257,1191
게임산업진흥에관한법률,2694,1,444,3,7,35,16,93,11,1,4418,1,525,1629
결혼중개업의관리에관한법률,21,0,3,0,0,0,2,1,0,0,43,0,4,49
경범죄처벌법,755,0,193,2,14,45,4,179,19,0,4087,0,484,817
고용보험법,2303,0,54,1,0,3,2,7,0,0,1152,0,176,383
공유수면관리및매립에관한법률,38,0,11,0,0,1,0,5,0,0,172,0,30,50
공유재산및물품관리법,23,0,2,0,0,1,0,2,2,0,77,0,16,73
공인중개사법,344,0,25,0,0,1,3,9,2,0,479,0,46,677
공중위생관리법,603,0,22,0,0,4,0,2,2,0,478,0,59,554
공직선거법,254,0,23,0,1,6,4,5,1,0,276,0,43,479
관세법,83,7,2,0,0,0,0,0,0,0,56,0,14,1169
교통사고처리특례법,32772,3,1854,64,33,584,91,374,55,2,36685,3,4694,111770
국가기술자격법,149,0,5,0,0,0,1,1,1,0,132,0,12,101
국가보안법,16,0,2,0,0,1,1,1,0,0,27,0,4,10
국민체육진흥법,255,0,34,0,1,8,0,12,1,0,337,0,52,98
국토의계획및이용에관한법률,401,0,38,0,0,4,6,12,1,0,1026,0,97,583
근로기준법,1270,263,202,3,68,1,6,64,4,2,3426,1,522,33853
근로자퇴직급여보장법,391,61,50,2,9,1,4,13,1,0,796,0,108,8129
낚시관리및육성법,30,0,8,0,0,1,1,1,1,0,121,0,25,15
노동조합및노동관계조정법,37,2,5,0,0,0,0,1,0,0,84,0,10,770
농수산물유통및가격안정에관한법률,7,0,1,0,0,0,0,0,0,0,27,0,4,10
농수산물의원산지표시에관한법률,573,13,29,0,1,2,3,1,1,0,402,0,52,2472
농지법,228,0,17,0,0,1,1,5,1,1,426,0,63,511
대기환경보전법,403,4,20,0,1,0,0,7,2,1,911,0,80,1461
대부업등의등록및금융이용자보호에관한법률,424,0,88,1,1,23,2,42,0,0,1076,0,161,479
도로교통법,4333,0,460,17,9,250,17,109,15,0,7045,1,915,4151
도로교통법(무면허운전),8006,0,1230,117,94,743,19,1045,70,1,27565,2,3845,6138
도로교통법(사고후미조치),3059,0,264,11,10,93,10,93,18,0,5648,0,654,17724
도로교통법(음주운전),61811,2,4135,26,85,791,146,1411,222,6,99385,9,10080,2044
도로교통법(음주측정거부),408,0,60,0,2,12,2,48,5,1,1950,0,190,85
도로법,325,0,48,0,1,1,4,13,1,0,1254,0,119,757
도시및주거환경정비법,145,0,3,0,0,0,2,1,1,0,155,0,35,532
독점규제및공정거래에관한법률,0,0,0,0,0,0,0,0,0,0,1,0,1,32
디자인보호법,36,0,4,0,0,0,1,0,0,0,41,0,2,270
마약류관리에관한법률(대마),313,0,45,0,0,7,0,40,2,0,452,0,57,399
마약류관리에관한법률(마약),833,0,28,0,0,0,1,4,0,0,358,0,41,81
마약류관리에관한법률(향정),1044,0,208,3,71,30,1,408,6,3,3259,10,498,2159
물환경보전법,171,0,7,0,0,1,1,5,1,0,294,0,32,527
배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,188,1,0,0,0,0,0,0,0,0,18,0,6,135
범죄수익은닉의규제및처벌등에관한법률,13,0,1,0,0,0,0,2,0,0,17,0,9,246
변호사법,56,0,4,0,0,0,2,15,1,1,140,0,51,778
병역법,4018,1,266,1,14,90,9,107,10,0,1837,1,360,347
보조금관리에관한법률,594,0,28,0,0,2,5,7,0,0,625,0,119,312
부동산실권리자명의등기에관한법률,244,0,10,0,0,0,2,3,0,0,262,0,41,623
부정경쟁방지및영업비밀보호에관한법률,185,0,2,0,0,0,0,1,1,0,177,0,17,538
부정수표단속법,110,0,9,0,0,0,2,5,3,0,338,0,58,653
사행행위등규제및처벌특례법,114,0,11,0,1,1,1,7,0,0,375,1,19,60
산림자원의조성및관리에관한법률,171,0,5,0,0,0,0,5,0,0,189,0,31,551
산업안전보건법,396,63,50,1,1,0,3,8,5,0,739,0,66,5953
산지관리법,544,11,25,0,0,0,2,7,2,0,523,0,124,1677
상표법,1198,1,77,0,4,10,2,10,4,0,1293,0,148,1729
석유및석유대체연료사업법,210,0,28,0,0,2,2,19,0,0,557,0,87,347
선박안전법,38,0,15,0,0,0,0,4,0,0,232,0,39,26
선박직원법,28,0,9,0,0,0,0,0,1,0,127,0,20,15
성매매알선등행위의처벌에관한법률,7693,0,1298,4,33,270,11,220,8,1,7531,2,1338,2897
수도법,54,0,8,0,0,0,0,0,1,0,95,0,7,59
수산업법,50,3,34,0,0,1,3,16,3,0,661,0,134,637
수산자원관리법,137,12,40,0,1,2,2,9,3,0,622,0,102,890
식품위생법,2784,17,372,0,1,14,15,41,16,0,4235,0,490,3649
신용정보의이용및보호에관한법률,46,0,2,0,0,2,0,0,0,0,52,0,2,18
"아동,청소년의성보호에관한법률(성매수등)",376,0,58,4,3,94,0,28,0,0,311,0,89,118
"아동,청소년의성보호에관한법률(음란물등)",342,0,15,4,1,9,2,2,1,0,91,0,14,52
아동복지법,1880,0,160,0,4,115,5,43,3,1,1444,4,242,629
액화석유가스의안전관리및사업법,68,0,4,0,0,1,0,2,0,0,120,0,10,21
약사법,471,3,42,0,0,0,1,8,0,0,598,0,44,698
