범죄분류,구공판_구속,구공판_불구속,구약식,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,기소유예,혐의없음,죄가안됨,공소권없음,기소중지,참고인중지
절도,7,41,27,867,0,0,0,1400,166,4,18,10,0
장물,0,0,1,16,0,0,0,67,4,0,1,0,0
사기,10,34,51,356,0,0,0,306,303,2,18,35,6
횡령,0,0,6,98,0,0,0,258,26,0,5,3,0
손괴,0,0,5,31,1,0,0,41,18,0,1,1,0
살인,1,2,0,2,0,0,0,1,1,0,0,0,0
강도,6,3,1,38,0,0,0,1,2,0,0,1,0
방화,0,1,0,4,0,0,0,8,0,0,0,0,0
성폭력,6,6,1,52,0,0,0,22,34,0,4,0,0
폭행,0,15,62,784,34,0,0,598,157,14,1070,14,0
상해,4,34,41,645,5,0,0,391,71,9,21,5,0
협박,0,1,0,38,2,0,0,39,39,2,22,1,0
공갈,4,14,0,90,0,0,0,25,21,0,2,2,0
약취와유인,2,2,0,0,0,0,0,0,0,0,0,0,0
체포와감금,2,7,2,30,0,0,0,15,27,0,0,0,0
"폭력행위등(손괴,강요,주거침입등)",0,0,1,31,0,0,0,39,7,0,0,0,0
"폭력행위등(단체등의구성,활동)",0,0,0,9,0,0,0,0,1,0,0,1,0
통화,0,0,0,1,0,0,0,2,0,0,0,0,0
유가증권·인지·우표,0,1,0,0,0,0,0,1,0,0,0,0,0
문서,0,6,11,127,0,0,0,499,44,1,4,3,0
인장,0,0,0,0,0,0,0,1,0,0,0,0,0
도박과복표,0,0,0,0,0,0,0,1,0,0,0,0,0
기타음란행위,0,0,0,0,0,0,0,0,1,0,0,0,0
과실치사상,0,1,0,1,0,0,0,0,0,0,13,0,0
업무상과실치사상,0,1,0,0,0,0,0,1,0,0,0,0,0
실화,0,0,0,1,0,0,0,9,0,0,0,0,0
명예,0,0,25,96,0,0,0,136,91,4,214,2,0
권리행사방해,0,1,0,6,0,0,0,3,4,0,0,0,0
신용업무경매,0,0,3,12,0,0,0,9,8,0,2,0,0
주거침입,2,2,1,12,0,0,0,31,13,1,0,0,0
비밀침해,0,0,0,0,0,0,0,1,0,0,0,0,0
유기,0,1,0,1,0,0,0,4,0,0,0,1,0
공무방해,0,6,1,25,0,0,0,11,0,0,2,0,0
도주와범인은닉,0,0,0,1,0,0,0,0,0,0,0,0,0
위증과증거인멸,0,0,1,2,0,0,0,1,2,0,0,0,0
무고,0,1,2,1,0,0,0,2,22,0,0,0,0
공안을해하는죄,0,0,0,0,0,0,0,1,0,0,0,0,0
개인정보보호법,0,0,0,0,0,0,0,2,0,0,0,0,0
게임산업진흥에관한법률,0,0,0,1,0,0,0,11,10,0,0,0,0
경범죄처벌법,0,0,3,7,0,0,0,2,4,0,0,0,0
공중위생관리법,0,0,0,1,0,0,0,4,0,0,0,0,0
교통사고 처리특례법,0,3,11,16,0,0,0,18,3,0,39,0,0
도로교통법,0,1,20,75,0,0,0,95,16,1,8,2,0
마약류관리에 관한 법률,0,5,0,5,0,0,0,7,1,0,0,0,0
상표법,0,0,0,0,0,0,0,0,1,0,0,0,0
성매매알선등행위의처벌에관한법률,0,2,4,34,0,24,0,101,28,1,12,6,0
식품위생법,0,0,0,2,0,0,0,4,2,0,0,0,0
"아동,청소년의성보호에관한법률(성매수등)",13,16,1,67,0,2,0,13,10,1,3,0,2
"아동,청소년의성보호에관한법률(음란물등)",0,0,0,8,0,0,0,2,0,0,0,0,0
아동복지법,0,1,0,1,3,0,3,2,4,0,1,0,0
여신전문금융업법,1,1,0,12,0,0,0,6,4,0,1,2,0
의료법,0,0,0,0,0,0,0,1,1,0,0,0,0
자동차관리법,0,0,0,0,0,0,0,1,3,0,1,0,0
자동차손해배상보장법,0,0,0,1,0,0,0,2,0,0,0,0,0
저작권법,0,0,0,0,0,0,0,10,3,0,15,0,0
전자금융거래법,1,2,6,6,0,0,0,14,19,0,0,2,0
정보통신망이용촉진및정보보호등에관한법률,0,2,10,65,0,0,0,57,35,2,68,1,0
주민등록법,0,2,11,99,0,0,0,290,17,0,3,1,0
청소년보호법,0,0,6,63,0,0,0,314,26,0,3,2,0
출입국관리법,0,0,0,0,0,0,0,4,0,0,0,0,0
특가법(도주차량),0,0,3,1,0,0,0,4,1,0,0,0,0
풍속영업의 규제에 관한법률,0,0,0,0,0,0,0,1,0,0,0,0,0
기타특별법,1,11,3,60,0,1,0,57,16,0,3,1,1
