범죄분류,동종재범_1개월 이내,동종재범_3개월 이내,동종재범_6개월 이내,동종재범_1년 이내,동종재범_2년 이내,동종재범_3년 이내,동종재범_3년 초과,이종재범_1개월 이내,이종재범_3개월 이내,이종재범_6개월 이내,이종재범_1년 이내,이종재범_2년 이내,이종재범_3년 이내,이종재범_3년 초과
절도,366,514,494,1232,596,471,916,165,224,235,670,426,466,2803
장물,2,4,3,8,9,5,20,1,2,1,22,10,11,47
사기,352,427,372,1488,463,643,1438,149,175,210,1068,577,769,3966
횡령,6,25,29,65,32,29,70,29,33,35,187,111,124,738
배임,0,0,0,6,1,4,7,0,1,2,12,16,10,125
손괴,22,34,35,78,47,47,94,37,73,81,242,165,176,842
살인,0,0,1,0,0,0,3,1,2,4,6,3,2,13
강도,0,5,0,6,0,0,1,4,5,1,8,8,11,15
방화,1,1,0,3,2,1,5,2,4,6,16,10,10,50
성폭력,0,1,0,4,2,2,2,6,4,7,45,22,17,90
폭행,124,221,213,636,404,331,915,122,261,327,984,701,721,3447
상해,47,104,127,308,215,167,646,67,133,142,464,350,393,1788
협박,7,11,4,21,13,3,15,18,13,25,76,48,49,224
공갈,1,4,6,18,7,6,5,10,11,14,39,16,12,68
약취와유인,0,0,0,0,1,1,0,0,0,2,4,2,0,6
체포와감금,0,2,1,1,3,1,6,0,3,8,25,11,4,33
"폭력행위등(손괴,강요,주거침입등)",3,3,4,7,4,3,7,5,5,5,13,17,15,60
"폭력행위등(단체등의구성,활동)",0,0,2,1,0,1,0,0,0,0,2,2,1,0
통화,0,0,0,0,0,0,0,0,0,0,0,0,1,4
유가증권·인지·우표,0,0,0,7,0,0,2,0,0,0,2,2,3,2
문서,22,24,30,105,25,25,43,25,32,28,102,62,57,281
인장,0,0,0,2,0,0,1,0,1,0,2,2,5,4
직무유기,0,0,0,0,0,0,0,0,0,0,0,0,1,0
직권남용,0,0,0,0,0,0,1,0,0,0,1,0,0,1
수뢰,0,0,0,0,4,0,0,2,0,0,2,3,1,5
증뢰,0,0,0,1,0,0,0,0,0,0,3,1,1,3
도박과복표,9,22,32,172,163,153,632,8,11,25,92,116,116,894
신앙,0,0,1,0,0,0,1,0,0,0,3,0,2,7
기타음란행위,1,1,1,4,0,0,0,0,2,1,2,2,1,5
과실치사상,1,0,0,0,0,2,7,2,3,4,14,17,12,100
업무상과실치사상,0,0,0,3,0,0,0,1,2,1,4,12,7,65
실화,0,0,0,1,0,0,1,2,1,5,12,5,8,75
명예,13,13,14,58,22,18,37,39,40,48,197,113,128,687
권리행사방해,3,3,3,5,2,4,7,5,15,12,73,41,55,198
신용업무경매,24,28,42,118,59,31,83,22,46,66,177,147,141,662
주거침입,12,15,10,42,8,8,22,13,29,28,133,64,61,348
비밀침해,0,0,0,0,0,0,0,0,0,0,0,0,1,0
유기,1,0,0,0,0,1,2,0,1,1,2,2,4,15
교통방해,0,0,0,3,3,0,4,0,2,0,7,4,6,37
공무방해,12,6,7,33,20,22,62,11,28,27,105,93,80,346
도주와범인은닉,1,0,0,0,0,0,0,1,1,1,9,5,9,35
위증과증거인멸,0,0,1,1,0,0,2,1,3,1,22,2,6,36
무고,0,0,0,5,0,0,2,3,10,9,36,14,21,70
공안을해하는죄,0,0,0,1,0,0,0,0,0,0,7,7,1,4
기타,0,0,0,0,0,0,0,1,0,0,1,1,0,2
가정폭력범죄의처벌등에관한특례법,0,0,0,0,0,0,0,0,0,0,2,1,0,1
가축분뇨의관리및이용에관한법률,0,0,3,9,0,3,6,0,0,0,0,1,0,12
감염병의예방및관리에관한법률,0,0,0,1,0,0,2,0,1,2,7,5,3,43
개발제한구역의지정및관리에관한특별조치법,0,1,2,9,7,5,13,1,1,2,10,4,9,47
개인정보보호법,0,0,1,1,0,0,0,3,0,0,11,8,3,42
건강기능식품에관한법률,0,0,0,16,3,4,5,0,0,3,4,5,5,45
건설기계관리법,0,0,0,0,0,0,0,0,0,0,0,2,0,8
건설산업기본법,0,3,5,20,7,10,8,2,2,4,13,9,12,119
건축법,1,1,6,9,7,13,21,4,6,6,32,19,37,278
게임산업진흥에관한법률,10,17,27,75,8,20,40,3,4,6,33,21,37,267
결혼중개업의관리에관한법률,0,1,0,1,2,1,1,0,0,1,0,1,1,7
경범죄처벌법,3,8,7,20,7,3,4,4,6,8,55,36,33,154
고용보험법,1,0,0,3,0,3,2,5,0,1,33,11,24,184
공유수면관리및매립에관한법률,0,0,0,15,0,2,0,0,0,1,4,0,1,9
공유재산및물품관리법,0,0,7,1,0,0,0,0,0,0,1,1,0,7
공인중개사법,0,0,1,10,8,4,7,0,0,0,9,5,13,58
공중위생관리법,6,7,18,42,11,4,10,0,1,3,13,12,13,78
공직선거법,0,0,0,0,1,0,0,0,1,1,4,2,4,27
관세법,0,0,0,1,0,0,1,0,0,1,3,0,0,4
교통사고처리특례법,15,21,35,130,126,110,572,28,42,62,235,271,298,2344
국가기술자격법,0,0,0,0,0,0,0,0,0,0,2,0,0,3
국가보안법,0,0,0,0,1,0,2,0,0,0,0,0,0,3
국민체육진흥법,1,0,1,0,0,0,0,0,0,0,1,1,1,7
국토의계획및이용에관한법률,2,2,0,4,4,3,3,1,1,1,9,11,8,50
근로기준법,3,7,9,11,7,6,11,1,3,4,10,14,6,68
근로자퇴직급여보장법,2,0,4,3,2,2,2,0,0,0,2,4,4,33
낚시관리및육성법,0,0,1,3,2,0,0,1,0,0,3,0,0,1
노동조합및노동관계조정법,0,0,0,0,0,0,1,0,0,0,0,0,0,2
농수산물유통및가격안정에관한법률,0,0,0,2,0,0,1,0,0,0,0,0,0,1
농수산물의원산지표시에관한법률,0,0,0,1,3,2,9,2,0,0,2,3,2,68
농지법,0,0,0,0,1,2,5,1,1,0,4,3,6,36
대기환경보전법,0,0,0,2,2,1,3,0,1,0,7,1,5,13
대부업등의등록및금융이용자보호에관한법률,0,1,2,13,4,6,15,0,1,3,18,9,19,72
도로교통법,3,5,4,20,10,12,29,7,6,8,33,28,39,178
도로교통법(무면허운전),25,61,96,274,108,78,142,21,113,157,446,196,114,357
도로교통법(사고후미조치),3,4,7,12,9,15,43,8,8,8,48,37,40,276
도로교통법(음주운전),30,54,85,366,406,493,2584,28,77,117,495,415,445,2527
도로교통법(음주측정거부),0,1,2,11,9,8,45,1,2,2,8,11,11,60
