범죄분류,생활비마련,유흥비마련,도박비마련,허영사치심,치부,이욕_기타,사행심,신고_고소,수사협조,증언,보복_기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
절도,7682,1477,193,70,29,11419,1129,0,0,0,2,51,1337,1242,16300,197,1823,14628,144
장물,196,27,0,0,10,461,48,0,0,0,0,0,18,12,157,3,321,435,4
사기,13220,1727,1074,133,194,17099,1975,2,0,0,5,23,103,465,3857,159,2973,38531,1190
횡령,1154,93,71,7,33,2617,237,1,0,0,1,5,173,103,1854,7,551,5461,160
배임,118,7,2,0,2,542,16,1,0,0,0,0,1,13,33,0,80,1169,68
손괴,16,4,1,2,1,243,8,3,0,0,6,1443,47,5,11399,627,728,7094,59
살인,4,0,1,0,0,12,0,1,0,0,7,51,0,0,231,28,1,174,1
강도,158,54,10,0,1,233,17,1,0,0,1,1,3,13,197,14,7,293,0
방화,2,0,1,0,0,17,0,0,0,0,4,72,14,2,357,95,8,250,2
성폭력,31,12,1,1,7,448,25,1,0,0,4,78,1393,619,5630,77,441,5694,155
폭행,28,12,3,4,11,162,29,21,0,2,25,8903,50,24,48604,1199,1185,24003,959
상해,17,10,1,7,9,125,22,11,1,0,45,2435,38,14,28540,622,588,13974,119
협박,7,2,4,0,3,97,4,21,0,3,57,1188,8,7,4206,226,374,2946,49
공갈,274,161,26,6,5,617,75,0,0,0,6,11,23,26,474,23,45,965,20
약취와유인,8,4,0,0,0,15,1,0,0,0,0,8,1,7,27,0,4,45,0
체포와감금,13,2,4,0,3,81,19,0,0,0,1,103,5,4,411,13,22,441,8
"폭력행위등(손괴,강요,주거침입등)",47,0,0,2,0,167,32,0,0,0,0,15,21,1,326,19,51,538,13
"폭력행위등(단체등의구성,활동)",0,0,0,2,0,5,2,0,0,0,0,1,10,16,98,1,2,348,4
통화,14,3,0,0,4,46,0,0,0,0,0,0,1,0,2,0,0,43,2
유가증권·인지·우표,18,1,2,0,0,24,1,0,0,0,0,0,0,0,3,0,3,88,5
문서,256,17,9,6,9,868,86,0,0,0,0,6,132,41,132,7,324,2675,84
인장,8,0,0,0,0,23,5,0,0,0,0,0,2,2,20,0,39,179,7
직무유기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,2
직권남용,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,5,47,1
수뢰,7,0,0,0,6,119,2,0,0,0,0,0,0,12,7,0,18,152,7
증뢰,2,0,0,0,0,79,3,0,0,0,0,0,3,24,8,0,4,99,6
도박과복표,218,218,215,9,17,2550,6670,0,0,0,0,1,578,151,1124,6,225,4548,28
신앙,3,0,0,0,0,11,0,0,0,0,0,0,0,0,14,1,13,78,0
기타음란행위,1,0,0,0,1,48,3,0,0,0,0,2,118,38,534,30,81,676,3
과실치사상,0,0,0,0,0,2,0,0,0,0,0,8,0,0,159,0,435,268,17
업무상과실치사상,1,0,0,0,0,4,0,0,0,0,0,0,2,0,92,1,1649,707,23
