범죄분류,14세 미만,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26-30세,31-35세,36-40세,41-45세,46-50세,51-55세,56-60세,61-70세,71세 이상,미상
절도,0,985,1894,2231,1587,1133,930,1036,891,938,919,910,867,3792,4096,4464,4584,5501,5855,5808,6107,3186,9
장물,0,7,19,58,44,36,42,43,37,23,29,30,27,98,212,206,181,154,154,148,127,17,0
사기,0,96,272,451,750,824,1404,1623,1564,1516,1671,1714,1820,7091,7738,8603,9751,11295,10095,8097,5410,795,150
횡령,0,31,50,113,115,92,91,80,93,92,87,129,120,649,980,1206,1502,1846,1755,1508,1461,493,35
배임,0,0,0,0,0,0,0,0,2,2,3,3,4,23,82,170,267,372,397,381,263,66,17
손괴,0,5,37,62,111,133,185,159,200,186,232,261,267,1185,1890,2391,2766,3453,3247,2464,1842,609,1
살인,0,0,1,0,2,1,6,3,5,1,5,5,8,24,33,49,57,76,90,73,55,17,0
강도,0,2,18,34,36,42,35,31,14,35,15,31,13,97,129,127,90,97,74,49,26,8,0
방화,0,1,10,8,6,4,2,3,5,3,8,10,1,28,44,75,106,156,143,117,76,18,0
성폭력,0,28,75,128,165,181,153,159,165,205,221,283,245,1283,1572,1599,1675,1778,1661,1374,1222,431,14
폭행,0,130,380,546,779,1075,1049,1017,957,1041,1086,1163,1116,5044,7193,9001,10404,12095,11772,9801,7532,2033,10
상해,0,109,309,444,674,826,825,687,692,678,746,728,697,3014,3979,4696,5414,6374,6020,4839,3748,1067,12
협박,0,9,29,31,44,43,54,47,43,70,72,80,97,447,725,1023,1155,1604,1427,1136,880,182,4
공갈,0,76,162,202,170,114,91,65,54,43,39,45,37,159,229,266,230,226,236,158,125,30,0
약취와유인,0,0,0,2,2,3,5,4,0,4,0,4,3,11,6,17,11,7,11,15,15,0,0
체포와감금,0,1,6,21,30,26,30,32,48,27,32,29,33,81,103,113,113,144,110,81,56,12,2
"폭력행위등(손괴,강요,주거침입등)",0,12,39,39,34,24,21,16,30,29,38,43,42,113,91,94,98,126,126,112,78,27,0
"폭력행위등(단체등의구성,활동)",0,1,3,6,9,11,23,28,13,32,24,10,22,109,91,39,36,18,8,5,1,0,0
통화,1,1,2,0,6,0,1,1,1,2,1,2,2,11,5,1,0,51,11,4,11,1,0
유가증권·인지·우표,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,10,9,14,35,40,26,3,1
문서,0,6,35,100,161,151,50,33,41,48,43,47,94,336,400,391,468,568,560,506,428,152,34
인장,0,0,1,1,2,0,0,0,0,6,0,1,2,9,20,18,32,45,40,51,44,8,5
직무유기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,10,8,4,0,1,1
직권남용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,12,11,14,9,2,0
수뢰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,31,73,75,90,41,3,3
증뢰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,30,46,53,36,43,5,5
도박과복표,0,1,0,2,9,10,13,25,38,55,80,103,102,783,1242,1416,1471,2191,2940,3257,2407,398,15
신앙,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,13,10,18,22,33,16,1
기타음란행위,0,0,2,0,8,1,5,6,11,12,12,24,21,102,179,164,188,234,196,179,154,37,0
과실치사상,0,0,0,0,1,2,5,8,7,4,4,5,3,30,54,67,102,122,136,154,136,49,0
업무상과실치사상,0,0,0,0,0,0,0,0,2,1,2,3,4,26,75,174,319,541,549,431,302,48,2
실화,0,0,1,6,8,1,3,3,1,2,5,6,3,37,54,86,127,164,182,181,192,72,0
명예,0,0,12,27,35,53,83,57,68,64,91,120,113,408,577,821,1026,1314,1524,1385,1235,365,12
권리행사방해,0,1,4,12,8,4,2,5,16,21,32,43,38,206,482,636,573,595,576,407,316,45,3
신용업무경매,0,4,5,12,8,26,35,40,42,49,72,52,61,420,929,1411,2112,3292,3495,2823,1950,359,9
주거침입,0,13,13,25,40,42,27,36,37,42,54,59,80,314,464,546,667,857,832,722,565,187,1
비밀침해,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,2,1,0,0
유기,0,0,0,0,2,1,0,1,1,1,3,0,2,6,4,3,6,5,11,2,3,1,0
교통방해,0,0,0,0,0,0,1,0,0,1,3,1,2,12,17,38,93,129,169,161,170,38,1
공무방해,0,3,11,19,35,51,63,65,66,77,104,89,130,534,910,1260,1547,1909,1658,1185,711,139,3
도주와범인은닉,0,0,1,4,4,7,14,7,14,7,5,6,11,51,39,44,44,31,23,14,12,3,16
위증과증거인멸,0,0,0,0,0,3,0,2,4,0,2,1,0,4,22,23,40,64,69,88,81,30,64
무고,0,0,0,1,2,1,1,2,2,3,1,7,9,30,37,45,54,75,120,106,137,51,75
공안을해하는죄,0,0,0,0,0,4,0,0,5,5,1,3,6,40,32,13,5,1,4,1,2,3,0
음용수에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0
일수와수리에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
기타,0,0,0,0,0,1,0,1,1,0,0,0,2,1,0,2,1,2,2,3,2,0,0
개발제한구역의 지정 및 관리에 관한 특별조치법,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,24,32,83,135,198,196,87,14
개인정보보호법,0,0,0,0,3,0,0,4,1,1,4,2,1,19,41,49,46,63,72,53,43,8,0
건축법,0,0,0,0,0,0,0,0,0,0,0,1,0,10,71,137,280,376,564,611,581,146,8
게임산업진흥에관한법률,0,0,2,4,0,6,15,14,26,31,39,45,40,337,652,876,950,905,753,455,292,37,10
경범죄처벌법,0,0,3,8,4,13,9,13,22,19,23,23,27,177,295,502,694,930,1009,741,435,57,0
공유재산및물품관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,11,11,26,22,21,4,0
공인중개사법,0,0,0,0,0,0,0,0,0,0,0,0,1,10,12,22,62,84,111,108,123,33,3
공중위생관리법,0,0,0,0,2,0,1,0,0,0,1,2,1,56,110,105,81,52,55,64,59,11,0
공직선거법,0,0,0,0,0,3,4,0,0,0,1,1,2,11,15,19,37,49,48,73,64,26,5
