범죄분류,초범,즉결심판,기소유예,선도유예,수배중,보호처분,선고유예,집행유예중,보석_형집행정지중,가석방,형(재산형포함)집행종료,감호소출소,기타,미상
절도,288,16,6088,387,407,3884,111,1546,79,41,38495,28,6317,36
장물,10,0,172,16,5,88,4,43,3,1,1198,0,152,0
사기,336,13,3702,124,555,1755,111,2783,201,78,61806,38,10838,390
횡령,67,1,744,32,48,188,43,252,23,2,9739,1,1330,58
배임,16,0,47,1,1,1,8,40,3,0,1721,0,192,22
손괴,103,3,1272,23,31,345,41,546,35,4,17297,3,1970,13
살인,1,0,30,0,3,7,1,24,0,0,404,0,41,0
강도,6,0,73,1,12,74,2,54,2,2,665,1,111,0
방화,1,0,63,5,5,18,3,31,1,0,600,1,95,1
성폭력,93,0,1289,37,43,425,47,519,24,7,10727,6,1349,51
폭행,469,14,5198,173,129,2420,162,1676,155,9,65858,8,8703,250
상해,209,8,3267,133,72,1505,89,1122,95,9,35267,6,4730,66
협박,34,0,467,11,17,192,13,234,13,2,7227,2,973,17
공갈,25,0,251,33,12,396,8,110,2,0,1569,0,345,6
약취와유인,0,0,11,0,2,10,1,5,0,0,79,0,12,0
체포와감금,14,0,61,1,2,60,1,43,3,0,822,0,120,3
"폭력행위등(손괴,강요,주거침입등)",8,0,127,7,1,55,4,21,0,0,849,0,157,3
"폭력행위등(단체등의구성,활동)",1,0,15,0,10,25,0,35,0,0,350,0,53,0
통화,0,0,6,0,0,9,0,0,0,0,73,0,27,0
유가증권·인지·우표,0,0,2,0,0,1,1,4,5,0,109,0,21,2
문서,28,0,259,25,25,199,15,110,7,1,3289,0,662,32
인장,1,0,12,0,3,2,0,3,2,0,241,0,20,1
직무유기,0,0,1,0,0,0,0,0,0,0,26,0,4,1
직권남용,1,0,1,0,0,0,0,0,0,0,40,0,13,3
수뢰,2,0,6,0,0,0,2,3,0,0,286,0,28,3
증뢰,0,0,2,0,0,0,0,10,0,0,192,0,24,0
도박과복표,59,4,1055,1,10,89,16,229,37,1,13668,1,1371,17
신앙,0,0,8,0,1,0,1,1,1,0,91,0,17,0
기타음란행위,7,0,148,0,9,18,4,59,4,1,1131,2,150,2
과실치사상,3,0,47,0,1,9,3,6,1,0,742,1,71,5
업무상과실치사상,14,0,95,0,1,2,6,23,2,0,2130,0,198,8
실화,8,0,56,1,0,3,0,11,2,0,939,0,113,1
명예,42,0,447,17,8,130,51,156,23,2,7543,3,942,26
권리행사방해,20,0,132,2,9,32,4,88,8,8,3261,0,446,15
신용업무경매,39,6,727,3,30,85,24,548,44,3,13967,4,1710,16
주거침입,27,1,348,9,12,86,11,159,19,1,4384,1,554,11
비밀침해,0,0,0,0,0,0,0,0,0,0,9,0,2,1
유기,2,0,7,0,0,3,0,0,0,0,32,0,8,0
교통방해,7,0,33,0,0,5,2,12,1,0,701,0,73,2
공무방해,30,2,457,10,16,102,18,364,44,2,8628,2,868,26
