범죄분류,구공판_구속,구공판_불구속,구약식,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,기소유예,혐의없음,죄가안됨,공소권없음,기소중지,참고인중지
절도,4261,8061,16849,5180,2,2,1,18374,2318,14,797,246,19
장물,56,196,472,91,0,0,0,521,207,0,7,9,8
사기,4730,23815,22174,1274,0,0,0,8736,11125,3,1023,2449,422
횡령,224,1973,4091,229,0,0,0,3269,1466,1,99,234,52
배임,38,551,313,0,0,0,0,141,567,0,14,79,5
손괴,195,1819,7728,182,1113,0,2,8567,1076,28,363,74,2
살인,420,44,4,0,0,0,0,13,15,0,5,3,1
강도,477,237,53,57,0,0,0,45,44,0,7,14,9
방화,206,234,59,17,8,0,0,198,36,1,13,7,0
성폭력,1528,4926,2279,223,23,0,15,2465,1914,2,130,156,32
폭행,540,6260,24961,1092,7639,0,125,9250,1995,164,31018,179,33
상해,1244,9087,16820,1262,1963,0,21,11858,1207,82,986,172,20
협박,340,1330,3096,81,1108,0,18,1293,671,2,862,24,2
공갈,285,578,477,489,2,0,0,218,329,1,27,38,23
약취와유인,34,30,2,1,0,0,0,20,21,0,0,2,4
체포와감금,116,223,232,39,71,0,0,174,166,1,18,6,5
"폭력행위등(손괴,강요,주거침입등)",16,129,417,89,1,0,0,325,118,12,6,12,4
"폭력행위등(단체등의구성,활동)",78,93,14,9,1,0,0,26,71,0,8,1,2
통화,22,15,4,2,0,0,0,8,4,0,54,1,1
유가증권·인지·우표,6,51,2,0,0,0,0,12,42,0,2,15,1
문서,103,1052,1407,300,0,0,0,485,709,1,30,87,19
인장,6,160,34,2,0,0,0,33,27,0,5,1,0
직무유기,0,0,3,0,0,0,0,2,15,0,1,0,0
직권남용,1,8,2,0,0,0,0,8,30,0,0,0,0
수뢰,40,96,15,0,0,0,0,45,93,0,3,0,0
증뢰,10,82,33,0,0,0,0,22,42,0,1,0,1
도박과복표,311,837,7384,12,0,0,0,6645,470,52,43,30,7
신앙,6,42,28,0,0,0,0,10,18,2,2,4,0
기타음란행위,54,411,705,8,0,0,0,215,83,3,3,2,0
과실치사상,1,34,350,1,4,0,0,28,40,2,380,9,1
업무상과실치사상,21,491,939,0,0,0,0,473,224,0,22,94,1
실화,3,47,350,9,1,0,0,659,21,0,4,4,0
명예,15,363,5848,60,7,0,0,304,711,57,1422,46,1
권리행사방해,8,714,1533,15,0,0,0,407,783,0,31,143,26
신용업무경매,482,3132,8075,25,0,0,0,3423,1088,13,153,57,4
주거침입,117,538,2178,74,14,0,0,1874,472,9,63,17,2
비밀침해,0,0,4,0,0,0,0,1,3,2,1,0,0
유기,5,19,3,0,2,0,3,8,7,0,0,0,0
교통방해,4,48,449,0,0,0,0,168,92,0,6,1,0
공무방해,900,7272,1239,74,1,0,0,241,256,4,33,19,0
도주와범인은닉,12,103,136,9,0,0,0,31,33,5,2,1,0
위증과증거인멸,11,115,147,0,0,0,0,7,174,0,1,12,3
무고,21,161,176,2,0,0,0,17,303,0,5,7,0
공안을해하는죄,32,44,3,2,0,0,0,17,13,0,0,0,0
음용수에관한죄,0,1,0,0,0,0,0,1,4,0,0,0,0
일수와수리에관한죄,0,0,4,0,0,0,0,0,0,0,0,0,0
기타,0,5,2,0,0,0,0,5,4,0,0,0,0
개발제한구역의지정및관리에관한특별조치법,0,95,531,0,0,0,0,38,39,0,3,0,0
개인정보보호법,19,28,147,1,0,0,0,70,90,1,9,4,2
건축법,1,56,1922,0,0,0,0,388,179,0,57,0,1
게임산업진흥에관한법률,190,931,2818,3,0,0,0,881,236,0,27,21,15
경범죄처벌법,15,173,3932,13,0,0,0,596,130,0,28,5,0
공유재산및물품관리법,0,5,67,0,0,0,0,10,1,0,1,0,0
공인중개사법,0,35,365,0,0,0,0,47,63,1,6,1,1
공중위생관리법,0,13,474,2,0,0,0,64,12,0,23,0,1
공직선거법,11,282,1,0,0,0,0,35,23,2,0,0,0
교통사고처리특례법,131,5958,24055,392,0,0,0,1290,599,0,11233,97,0
국민체육진흥법,45,102,176,1,0,0,0,64,9,0,4,1,1
국토의계획및이용에관한법률,2,100,771,0,0,0,0,106,43,0,19,2,1
근로기준법,8,607,4305,0,0,0,0,527,269,0,2559,1284,13
근로자퇴직급여보장법,1,195,862,0,0,0,0,53,32,0,763,155,2
농수산물의원산지표시에관한법률,3,23,586,0,0,0,0,102,39,0,0,2,0
농지법,2,30,307,0,0,0,0,51,23,0,35,0,0
대기환경보전법,1,11,994,0,0,0,0,134,30,0,4,1,0
대부업등의등록및금융이용자보호에관한법률,46,234,734,3,0,0,0,153,59,0,12,6,0
도로교통법,754,19642,136181,1536,0,0,0,4304,3845,4,585,196,4
도로법,1,5,1012,1,0,0,0,248,92,0,14,1,1
마약류관리에관한법률,1842,1781,187,4,0,0,0,852,445,0,34,72,12
물환경보전법,1,12,299,0,0,0,0,55,23,0,3,0,0
병역법,28,412,1805,0,0,0,0,221,21,0,20,36,0
부정경쟁방지및영업비밀보호에관한법률,3,36,28,0,0,0,0,20,42,0,0,6,0
부정수표단속법,10,151,118,0,0,0,0,11,46,0,41,2,1
사행행위등규제및처벌특례법,31,117,211,0,0,0,0,21,5,0,4,1,0
산림자원의조성및관리에관한법률,0,36,158,0,0,0,0,98,28,1,1,3,1
산업안전보건법,0,83,1252,0,0,0,0,81,54,0,7,21,0
산지관리법,0,72,543,0,0,0,0,258,84,0,34,1,0
상표법,28,121,1011,0,0,0,0,222,89,0,11,6,0
선박안전법,0,19,196,0,0,0,0,34,19,1,0,0,0
선박직원법,0,0,121,0,0,0,0,13,20,0,0,0,0
성매매알선등행위의처벌에관한법률,374,1878,2953,15,4,524,0,3173,396,1,194,31,18
수산업법,6,51,711,0,0,0,0,82,35,0,14,0,0
수산자원관리법,7,66,581,0,0,0,0,114,26,0,5,0,0
식품위생법,19,187,3587,0,0,0,0,937,302,0,98,1,1
아동·청소년의성보호에관한법률(성매수등),96,225,41,47,0,7,0,27,28,0,1,8,5
아동·청소년의성보호에관한법률(음란물등),10,17,23,6,0,0,0,65,2,0,1,0,0
아동복지법,29,207,71,5,39,0,1255,236,74,1,6,5,0
여객자동차운수사업법,6,51,1209,0,0,0,0,250,59,0,56,7,1
여신전문금융업법,36,147,398,19,0,0,0,149,95,0,6,12,2
예비군법,2,296,4740,0,0,0,0,211,58,0,17,58,0
외국환거래법,3,18,36,0,0,0,0,12,7,0,1,1,4
의료법,34,213,968,3,0,0,0,249,174,0,32,16,3
자동차관리법,12,190,6842,58,0,0,0,2989,1452,0,327,327,15
자동차손해배상보장법,2,102,10000,130,0,0,0,2160,1290,0,848,932,11
저작권법,1,53,605,0,0,0,0,642,93,0,500,11,0
전자금융거래법,300,2253,2142,32,0,0,0,2629,1213,0,500,80,10
정보통신망이용촉진및정보보호등에관한법률,51,281,1523,44,3,0,0,349,292,6,278,21,2
조세범처벌법,22,684,398,0,0,0,0,58,150,0,65,30,15
주민등록법,2,42,317,128,0,0,0,126,53,0,10,6,1
청소년보호법,4,46,2259,69,0,0,0,1145,360,0,8,15,2
축산물위생관리법,3,29,505,0,0,0,0,110,40,0,9,3,0
출입국관리법,11,152,1012,0,0,0,0,47,24,0,13,3,2
통신비밀보호법,6,26,12,0,0,0,0,11,5,0,0,1,0
특가법(도주차량),108,1420,777,41,0,0,0,59,303,1,33,14,2
폐기물관리법,23,147,587,0,0,0,0,122,83,0,10,3,0
풍속영업의규제에관한법률,0,24,138,0,0,0,0,15,6,0,7,1,0
학원의설립운영및과외교습에관한법률,0,0,59,0,0,0,0,23,3,0,1,0,0
