범죄분류,초범,즉결심판,기소유예,선도유예,수배중,보호처분,선고유예,집행유예중,보석_형집행정지중,형(재산형포함)집행종료,감호소출소,기타,미상
절도,631,1,361,9,10,73,11,93,2,995,0,221,6
장물,4,0,0,0,0,0,0,0,0,3,0,0,0
사기,65,0,33,0,3,6,4,14,0,147,0,40,3
횡령,69,0,24,0,0,1,3,2,0,61,0,8,1
배임,1,0,0,0,0,0,0,0,0,2,0,0,1
손괴,253,0,58,0,1,7,1,15,2,340,1,67,1
살인,37,0,4,0,0,1,0,2,0,26,0,2,0
강도,13,0,6,0,0,1,0,1,0,16,0,6,0
방화,47,0,17,0,0,2,1,4,0,70,0,4,0
성폭력,301,0,89,1,1,23,5,24,0,189,1,40,3
폭행,423,0,94,1,2,16,7,17,3,492,1,121,12
상해,248,0,45,0,2,15,5,11,1,259,1,47,1
협박,84,0,15,0,0,4,1,7,1,113,0,22,0
공갈,9,0,4,0,0,2,0,1,0,12,0,2,1
약취와유인,1,0,2,0,0,0,0,0,0,3,0,1,0
체포와감금,7,0,0,0,0,0,1,0,0,4,0,1,1
"폭력행위등(손괴,강요,주거침입등)",4,0,0,0,0,0,0,0,0,1,0,0,0
통화,0,0,0,0,0,1,0,0,0,0,0,0,0
문서,0,0,0,0,0,0,0,0,0,6,0,0,0
수뢰,0,0,0,0,0,0,0,0,0,1,0,0,0
도박과복표,3,0,0,0,0,0,0,0,0,7,0,1,0
기타음란행위,78,0,34,0,1,2,0,5,0,74,0,19,1
과실치사상,6,0,0,0,0,1,0,0,0,1,0,1,0
업무상과실치사상,0,0,0,0,0,0,0,0,0,0,0,1,0
실화,12,0,1,0,0,0,0,0,0,5,0,1,0
명예,18,0,8,0,0,1,0,0,0,21,0,9,0
권리행사방해,0,0,0,0,0,0,0,0,0,5,0,0,0
신용업무경매,81,0,13,0,1,3,0,8,0,142,1,22,1
주거침입,77,0,26,1,0,1,0,3,0,119,0,22,0
유기,1,0,0,0,0,0,0,0,0,0,0,0,0
교통방해,1,0,2,0,0,0,0,0,0,4,0,0,0
공무방해,73,0,15,0,2,4,0,7,0,121,1,31,0
도주와범인은닉,0,0,1,0,0,0,0,0,0,0,0,1,0
무고,8,0,1,0,0,0,0,0,0,2,0,1,0
건축법,0,0,0,0,0,0,0,0,0,3,0,0,0
게임산업진흥에관한법률,0,0,0,0,0,0,0,0,0,2,0,0,0
경범죄처벌법,16,0,5,0,0,1,0,1,0,37,0,4,0
공인중개사법,0,0,0,0,0,0,0,0,0,0,0,1,0
공중위생관리법,0,0,0,0,0,0,0,0,0,1,0,0,0
공직선거법,7,0,3,0,1,0,0,0,0,5,0,0,0
교통사고처리특례법,24,0,3,0,0,0,2,1,0,35,0,5,0
국민체육진흥법,0,0,1,0,0,0,0,0,0,0,0,0,0
국토의계획및이용에관한법률,0,0,0,0,0,0,0,0,0,1,0,0,0
근로기준법,0,0,0,0,0,0,0,0,0,0,0,0,1
근로자퇴직급여보장법,0,0,0,0,0,0,0,0,0,0,0,0,1
도로교통법,41,0,10,1,0,1,0,4,0,86,0,15,1
도로법,0,0,0,0,0,0,0,0,0,1,0,0,0
마약류관리에관한법률,48,0,18,0,1,0,0,29,1,233,2,21,0
병역법,3,0,0,0,0,0,0,2,0,5,0,0,0
부정수표단속법,0,0,0,0,0,0,0,0,0,1,0,0,0
산지관리법,1,0,0,0,0,0,0,0,0,0,0,0,0
성매매알선등행위의처벌에관한법률,6,0,4,0,0,0,0,0,0,11,0,1,0
수산업법,0,0,0,0,0,0,0,0,0,0,0,1,0
식품위생법,0,0,0,0,0,0,0,0,0,2,0,0,1
아동·청소년의성보호에관한법률(음란물등),0,0,1,0,0,0,0,0,0,2,0,1,0
아동복지법,45,0,2,0,0,4,0,1,0,25,1,6,0
여객자동차운수사업법,0,0,0,0,0,0,0,0,0,1,0,0,0
여신전문금융업법,6,0,5,0,0,1,0,0,0,9,0,0,0
예비군법,4,0,0,0,0,0,0,0,0,1,0,1,0
의료법,2,0,2,0,0,0,0,0,0,0,0,0,0
자동차관리법,1,0,0,0,0,0,0,0,0,5,0,0,0
자동차손해배상보장법,4,0,0,0,1,0,0,0,0,3,0,0,0
저작권법,6,0,6,0,0,0,0,0,0,3,0,0,2
전자금융거래법,7,0,1,0,0,0,1,0,0,10,0,3,0
정보통신망이용촉진및정보보호등에관한법률,32,0,5,0,0,1,0,1,0,19,0,2,0
조세범처벌법,1,0,0,0,0,0,0,0,0,0,0,0,0
주민등록법,2,0,2,0,0,0,0,0,0,3,0,0,0
청소년보호법,6,0,1,0,0,0,0,0,0,4,0,0,0
출입국관리법,2,0,0,0,0,0,0,0,0,0,0,0,0
특가법(도주차량),6,0,1,0,0,0,0,1,0,14,0,3,0
폐기물관리법,0,0,0,0,0,0,0,0,0,1,0,0,0
화물자동차운수사업법,0,0,0,0,0,0,0,0,0,1,0,0,0
기타특별법,58,0,16,0,0,17,4,10,1,128,0,21,1
